Submission ID,Respondent ID,Submitted at,idEmpresa,Transportadora principal,Importância - reduzir os custos de frete em cada pedido,Importância - aumentar a competitividade nas modalidades e transportadoras oferecidas aos clientes,Importância - ter flexibilidade para negociar condições comerciais e operacionais de acordo com o porte do seu negócio,Importância - garantir entregas dentro do prazo prometido,Importância - minimizar atrasos ou falhas na coleta e transporte,Importância - oferecer rastreamento claro e atualizado em tempo real ao cliente,"Importância - reduzir o tempo de resolução de problemas de entrega (atrasos, extravios, avarias)",Importância - oferecer suporte proativo e eficiente ao cliente final em caso de problemas,Importância - facilitar a emissão de documentos e etiquetas de forma prática,Importância - receber relatórios e indicadores de desempenho logístico,"Importância - integrar facilmente sua logística com sistemas de gestão (ERP, loja virtual, etc.)",Satisfação - reduzir os custos de frete em cada pedido,Satisfação - aumentar a competitividade nas modalidades e transportadoras oferecidas aos clientes,Satisfação - ter flexibilidade para negociar condições comerciais e operacionais de acordo com o porte do seu negócio,Satisfação - garantir entregas dentro do prazo prometido,Satisfação - minimizar atrasos ou falhas na coleta e transporte,Satisfação - oferecer rastreamento claro e atualizado em tempo real ao cliente,"Satisfação - reduzir o tempo de resolução de problemas de entrega (atrasos, extravios, avarias)",Satisfação - oferecer suporte proativo e eficiente ao cliente final em caso de problemas,Satisfação - facilitar a emissão de documentos e etiquetas de forma prática,Satisfação - receber relatórios e indicadores de desempenho logístico,"Satisfação - integrar facilmente sua logística com sistemas de gestão (ERP, loja virtual, etc.)",Pontos positivos,Pontos negativos
aQApgG2,b5VM6Ko,2025-09-18 16:22:32,14880567211,Correios,10,10,10,10,10,10,10,10,10,10,10,5,7,5,7,1,5,7,5,8,8,8,pontos positivos: tem uma agencia dos correios próximo. E sempre esta vazia.,"Pontos negativos: demora na entrega, os produtos por mais bem embalados chegam com avarias, muitas vezes não localizam a casa do cliente e o produto retorna pra mim como não localizado."
0QZqgq6,44XYzPY,2025-09-18 16:28:35,10265391275,MelhorEnvio,7,7,5,10,10,7,10,10,10,10,10,7,7,7,7,8,7,4,4,7,7,10,"Integração simplificada.
Diversas opções de transportadoras.
Visualização e rastreio","Principalmente o fato de ser Sem faturamento. Ter que pagar cada pedido gerado, sendo que poderia ser feito via faturas.
Facilitaria demais igual quando havia a opção de pagar via cartão. Agora só no Pix ou boleto é ruim para o fluxo de caixa.

Outra questão é o atendimento via protocolo, que antes havia chat e temos perdido vendas por apenas não saber onde está o pedido e isso poderia ser resolvido facilmente com um conversa de 2 minutos no chat para se passar o ocorrido."
yPo54ZB,gDjVoQP,2025-09-18 17:52:10,14880283961,Correios,9,10,9,10,10,10,10,10,10,10,10,6,7,8,6,6,7,0,0,10,9,5,Facilidade para gerar etiquetas e cotação de frete,"Precisamos de mais integrações com outros marketing places. Etsy, elo7 por exemplo. "
jaJAMoJ,pbxNaqZ,2025-09-18 18:25:33,14879569035,Total Express,10,8,10,10,10,10,10,10,10,10,10,5,8,5,9,8,0,0,8,0,0,0,O preço do frete está um pouco mais competitivo.,"Não consegui integrar ainda, preciso imprimir etiqueta separadamente no portal da transportadora. Quero juntar tudo no bling."
7RarDkP,Np5xGWQ,2025-09-18 18:28:59,14879953967,bRASPRESS,10,10,10,10,10,10,10,10,10,6,10,5,6,7,9,8,8,3,5,6,6,8,"
Correios é sempre bem claro, tanto o rastreio quanto prazo, fácil de pesquisar. Transportadora é rápida, chega em qquer lugar.","As trasnportadoras são mais complicadas, é dificil a coleta, o rastreio. A integração tb é mais complexa."
5BePP7v,Np5N06W,2025-09-18 20:37:34,14880398752,MelhorEnvio,10,6,5,6,6,10,10,10,10,10,10,7,8,5,6,6,10,7,5,5,5,5,"É um agrupador de logísticas, então me traz várias opções.",Integração com o bling ainda não é 1oo%
q4Jloj9,aQNJ1Zq,2025-09-18 23:53:55,14879764184,MelhorEnvio,10,5,10,10,10,10,10,10,10,10,10,7,5,0,3,3,5,1,2,8,5,2,A facilidade de calcular os valores de envio e importação direta da loja virtual,"Resolução de problemas é muito ruim, vc ter que depender de terceiros e apenas atendimento ""virtual"" é péssimo quando vc precisa um retorno agil"
vGJ9EWQ,0Qr0YaZ,2025-09-18 23:54:53,14880214754,Total Express,10,10,10,10,10,10,10,10,10,10,10,8,9,8,10,9,10,8,5,10,6,10,"Suporte por parte do gerente de conta, preços e perccentual minimo de problemas","Demora no suporte a proplemas, com demora no retorno dos tiket."
aQAMqb9,rjy9xLp,2025-09-19 01:45:32,14880053859,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,7,7,9,8,8,9,7,8,6,7,6,Está melhorando a logística com um ponto de entrega perto da empresa.,O ponto de entrega poderia englobar mais transportadoras. Também seria interessante ter mais opções com coleta tanto para entrega como logística reversa.
EkZOOKL,jaD4O0Q,2025-09-19 01:46:14,14880058140,Correios,10,10,10,10,10,8,10,10,10,8,10,5,5,5,8,8,8,8,2,8,8,10,Existem várias opções porém infelizmente essa vastidão de opções não resultou em nada pois a API se tornou lenta para a resposta.,"Lentidão na resposta. Especificamente com a CONECTA-LA que me deixou um mês sem vendas enquanto estava tentando usar a API do Bling no Coopera e na Farmadelivery. Não consegui contato no CONECTA-LA, Bling disse que sua API era correta, Coopera que recebia com timeout. Eu no fim da fila sem poder fazer nada. Tive que voltar pros correios."
