"Submission ID","Respondent ID","Submitted at","idEmpresa","idUsuario","isAdmin","plano","dataInscricao","Qual é a sua função na empresa?","Qual o volume de envios mensal da sua empresa?","Como a sua empresa realiza vendas atualmente??","Como você gerencia seus envios hoje?","Como você gerencia seus envios hoje? (Pelo painel do Bling / Melhor Envio)","Como você gerencia seus envios hoje? (Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo)","Como você gerencia seus envios hoje? (Via API / integração direta com sistema próprio)","Como você gerencia seus envios hoje? (Processo manual (planilha, ligação para transportadora, etc.))","Como você gerencia seus envios hoje? (Outro)","Importância - Reduzir o custo de frete por pedido sem comprometer o prazo de entrega","Satisfação - Reduzir o custo de frete por pedido sem comprometer o prazo de entrega","Importância - Aumentar a probabilidade de escolher a modalidade com melhor relação custo-prazo para cada pedido","Satisfação - Aumentar a probabilidade de escolher a modalidade com melhor relação custo-prazo para cada pedido","Importância - Reduzir a desvantagem de custo de frete em relação a concorrentes de maior porte","Satisfação - Reduzir a desvantagem de custo de frete em relação a concorrentes de maior porte","Importância - Reduzir o tempo perdido entre o recebimento do pedido e a emissão da etiqueta por falta de integração entre sistemas","Satisfação - Reduzir o tempo perdido entre o recebimento do pedido e a emissão da etiqueta por falta de integração entre sistemas","Importância - Reduzir o tempo gasto para emitir NF e etiqueta por pedido","Satisfação - Reduzir o tempo gasto para emitir NF e etiqueta por pedido","Importância - Reduzir o tempo para começar a operar a logística após a primeira configuração","Satisfação - Reduzir o tempo para começar a operar a logística após a primeira configuração","Importância - Reduzir interrupções no fluxo de expedição causadas por saldo insuficiente","Satisfação - Reduzir interrupções no fluxo de expedição causadas por saldo insuficiente","Importância - Reduzir o esforço manual no processamento de cada pedido na etapa de expedição","Satisfação - Reduzir o esforço manual no processamento de cada pedido na etapa de expedição","Importância - Reduzir o tempo gasto para gerenciar a expedição de diferentes CNPJs em paralelo","Satisfação - Reduzir o tempo gasto para gerenciar a expedição de diferentes CNPJs em paralelo","Importância - Reduzir a frequência de atrasos e falhas na coleta e no transporte dos pedidos","Satisfação - Reduzir a frequência de atrasos e falhas na coleta e no transporte dos pedidos","Importância - Reduzir a incerteza do cliente final sobre o status e a previsão de entrega do pedido","Satisfação - Reduzir a incerteza do cliente final sobre o status e a previsão de entrega do pedido","Importância - Reduzir a proporção de pedidos entregues fora do prazo prometido ao comprador","Satisfação - Reduzir a proporção de pedidos entregues fora do prazo prometido ao comprador","Importância - Reduzir o tempo para identificar pedidos com risco de atraso ou ocorrência antes do acionamento do comprador","Satisfação - Reduzir o tempo para identificar pedidos com risco de atraso ou ocorrência antes do acionamento do comprador","Importância - Reduzir o número de compradores sem resposta ou resolução em casos de problemas de entrega","Satisfação - Reduzir o número de compradores sem resposta ou resolução em casos de problemas de entrega","Importância - Reduzir o tempo para resolver ocorrências de atraso, extravio ou avaria após o acionamento do comprador","Satisfação - Reduzir o tempo para resolver ocorrências de atraso, extravio ou avaria após o acionamento do comprador","Importância - Reduzir o tempo para identificar qual transportadora ou rota está gerando mais problemas e custos","Satisfação - Reduzir o tempo para identificar qual transportadora ou rota está gerando mais problemas e custos","Importância - Reduzir o esforço para acionar e acompanhar uma transportadora em casos de ocorrência diretamente pelo sistema","Satisfação - Reduzir o esforço para acionar e acompanhar uma transportadora em casos de ocorrência diretamente pelo sistema"
"5X2gx66","ODkWe8Y","2026-06-15 20:03:19","14899323399","14784154046","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","1","10","2","10","5","10","1","10","1","10","1","10","1","10","1","1","5","10","2","10","1","10","6","10","2","10","1","10","1","10","1","10","1"
"kbZQyRd","zx0zkGR","2026-06-15 20:09:59","7691880520","7691880524","","","","Responsável Logístico/Expedição","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","5","10","5","10","5","10","1","10","2","10","5","10","4","10","5","10","1","10","7","10","7","10","7","10","5","10","10","10","5","10","1","10","1"
"xVZLZxo","lbvP2do","2026-06-15 20:23:07","8290258932","8290258933","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","false","false","10","10","10","10","7","10","9","10","10","10","7","10","10","10","10","10","1","1","10","10","10","10","10","10","7","10","10","10","9","10","10","10","10","10"
"Kp0N0BX","ODoLpDp","2026-06-15 20:25:03","14880660313","14783227120","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","bling, nuvem e ml","false","false","false","false","true","10","10","1","10","1","10","10","8","10","5","1","1","1","10","10","7","1","10","10","1","10","8","10","10","10","10","10","10","10","10","1","10","1","10"
"o9Oalye","kddeMDR","2026-06-15 20:53:03","14879213966","14779890559","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","7","10","7","10","7","10","7","10","7","9","7","8","8","8","8","7","7","9","8","8","8","8","7","9","8","10","6","8","6","9","7","8","6"
"laR9Yxo","NpdezAW","2026-06-15 21:05:48","14902176754","14784506159","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","9","9","9","9","10","10","9","9","8","8","9","9","8","9","9","9","8","8","10","9","10","9","10","9","10","9","9","9","9","9","9","9","9","9"
"Eq0rVpr","81Mvqdo","2026-06-15 22:09:38","14879272150","14780060760","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Site","true","false","false","false","true","10","7","10","8","10","7","10","6","8","6","5","10","6","9","10","6","1","1","10","5","10","3","10","3","10","2","10","3","10","1","10","2","10","2"
"2jrgGNp","J9Madlo","2026-06-15 22:17:31","8511714857","8511714858","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Via API / integração direta com sistema próprio","true","false","true","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"OQ0eMe7","Gx5NKXQ","2026-06-15 22:20:26","8874845689","8874845690","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Processo manual (planilha, ligação para transportadora, etc.)","false","false","false","true","false","10","6","10","6","10","7","10","8","10","10","10","5","10","4","10","7","10","5","10","6","10","7","10","6","10","7","10","7","10","6","10","5","10","7"
"Vp8Bk4J","zxLpDEg","2026-06-15 23:05:58","14879165982","14779748484","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
